Running all tests
[es5] es5array_arrayproto_crosssite.js .......... Pass
[es5] es5array_protoarr.js .......... Pass
[es5] es5array_protoobj.js .......... Pass
[es5] es5array_protoobj_crosssite.js .......... Pass
[es5] es5array_replaceprotoarr.js .......... Pass
[es5] es5array_replaceprotoobj.js .......... Pass
[es5] resetproperty.js .......... Pass
[es5] es5array_enum_edit.js .......... Pass
[EH] capture.js .......... Fail
[EH] capture.js .......... Fail
[EH] oos2.js .......... Fail
[EH] try1.js .......... Pass
[EH] try2.js .......... Fail
[EH] try3.js .......... Pass
[EH] try4.js .......... Pass
[EH] try5-ES3.js .......... Pass
[EH] try6.js .......... Fail
[EH] try.bug188541.js .......... Pass
[EH] try.bug188541.v5.js .......... Fail
[EH] so.js .......... Fail
[EH] newso.js .......... Fail
[EH] trylabel.js .......... Pass
[EH] alignment.js .......... Fail
[EH] 101832.js .......... Fail
[InlineCaches] t0.js .......... Pass
[InlineCaches] t1.js .......... Pass
[InlineCaches] t2.js .......... Pass
[InlineCaches] t3.js .......... Pass
[InlineCaches] t4.js .......... Pass
[InlineCaches] t5.js .......... Pass
[InlineCaches] test6.js .......... Pass
[InlineCaches] TypePropertyCache_CrossContext.js .......... Pass
[InlineCaches] getter_sideeffect.js .......... Pass
[InlineCaches] prototypeChainModifications.js .......... Pass
[InlineCaches] inlineLocalCacheWithoutProperty.js .......... Pass
[InlineCaches] writable1.js .......... Pass
[InlineCaches] writable2.js .......... Pass
[InlineCaches] writable3.js .......... Pass
[InlineCaches] BigDictionaryTypeHandler.js .......... Pass
[InlineCaches] addFldFastPath.js .......... Pass
[InlineCaches] MissingPropertyCache1.js .......... Pass
[InlineCaches] MissingPropertyCache2.js .......... Pass
[InlineCaches] MissingPropertyCache3.js .......... Pass
[InlineCaches] instanceOfCacheCrossRegistration.js .......... Pass
[InlineCaches] bug_vso_os_1206083.js .......... Fail
[LetConst] Skipping whole directory (Not in scope(es6: let, const))
[Basics] Array.js .......... Pass
[Basics] ie12ScriptFunctionToStrings.js .......... Fail
[Basics] DomProperties.js .......... Pass
[Basics] ArrayConcat.js .......... Pass
[Basics] arrayinit.js .......... Pass
[Basics] IdsWithEscapes.js .......... Fail
[Basics] ArrayResize.js .......... Pass
[Basics] DirectCall.js .......... Pass
[Basics] equal.js .......... Pass
[Basics] equal_object.js .......... Pass
[Basics] label1.js .......... Fail
[Basics] label1.js .......... Fail
[Basics] label2.js .......... Fail
[Basics] label2.js .......... Fail
[Basics] label3.js .......... Fail
[Basics] label3.js .......... Fail
[Basics] label4.js .......... Fail
[Basics] label4.js .......... Fail
[Basics] label5.js .......... Fail
[Basics] label5.js .......... Fail
[Basics] label6.js .......... Fail
[Basics] label6.js .......... Fail
[Basics] Length.js .......... Pass
[Basics] Logical.js .......... Pass
[Basics] ParameterOrder.js .......... Pass
[Basics] Parameters.js .......... Pass
[Basics] StringCharCodeAt.js .......... Pass
[Basics] StringField.js .......... Pass
[Basics] StringFromCharCode.js .......... Pass
[Basics] StringSubstring.js .......... Pass
[Basics] switch.js .......... Pass
[Basics] Switch2.js .......... Pass
[Basics] typeof.js .......... Pass
[Basics] typeofcombi.js .......... Pass
[Basics] TypePromotion.js .......... Pass
[Basics] UndefinedVsNull.js .......... Pass
[Basics] With.js .......... Fail
[Basics] withBug940841.js .......... Pass
[Basics] withBug940841_2.js .......... Pass
[Basics] With2.js .......... Pass
[Basics] witheval.js .......... Fail
[Basics] TernaryOperator.js .......... Pass
[Basics] DeleteProperty1.js .......... Fail
[Basics] Accessors.js .......... Pass
[Basics] DefProp.js .......... Pass
[Basics] scopedaccessors.js .......... Pass
[Basics] flags.js .......... Fail
[Basics] Branching.js .......... Pass
[Basics] inlinecache.js .......... Fail
[Basics] scan.js .......... Fail
[Basics] enum.js .......... Pass
[Basics] with3.js .......... Fail
[Basics] Enumerator-deprecated.js .......... Pass
[Basics] Enumerator-WebViewHost.js .......... Fail
[Basics] cross_site_accessor_main.js .......... Fail
[Basics] bug650104.js .......... Fail
[Generated] mul.js .......... Pass
[Generated] mul0.js .......... Pass
[Generated] mul1.js .......... Pass
[Generated] mul2.js .......... Pass
[Generated] mul3.js .......... Pass
[Generated] div.js .......... Pass
[Generated] div0.js .......... Fail
[Generated] div1.js .......... Fail
[Generated] div2.js .......... Pass
[Generated] div3.js .......... Pass
[Generated] mod.js .......... Pass
[Generated] mod0.js .......... Pass
[Generated] mod1.js .......... Pass
[Generated] mod2.js .......... Pass
[Generated] mod3.js .......... Pass
[Generated] add.js .......... Pass
[Generated] add0.js .......... Pass
[Generated] add1.js .......... Pass
[Generated] add2.js .......... Pass
[Generated] add3.js .......... Pass
[Generated] sub.js .......... Pass
[Generated] sub0.js .......... Pass
[Generated] sub1.js .......... Pass
[Generated] sub2.js .......... Pass
[Generated] sub3.js .......... Pass
[Generated] lsh.js .......... Pass
[Generated] lsh0.js .......... Pass
[Generated] lsh1.js .......... Pass
[Generated] lsh2.js .......... Pass
[Generated] lsh3.js .......... Pass
[Generated] rsh.js .......... Pass
[Generated] rsh0.js .......... Pass
[Generated] rsh1.js .......... Pass
[Generated] rsh2.js .......... Pass
[Generated] rsh3.js .......... Pass
[Generated] rshu.js .......... Pass
[Generated] rshu0.js .......... Pass
[Generated] rshu1.js .......... Pass
[Generated] rshu2.js .......... Pass
[Generated] rshu3.js .......... Pass
[Generated] lt.js .......... Pass
[Generated] lt0.js .......... Pass
[Generated] lt1.js .......... Pass
[Generated] lt2.js .......... Pass
[Generated] lt3.js .......... Pass
[Generated] gt.js .......... Pass
[Generated] gt0.js .......... Pass
[Generated] gt1.js .......... Pass
[Generated] gt2.js .......... Pass
[Generated] gt3.js .......... Pass
[Generated] le.js .......... Pass
[Generated] le0.js .......... Pass
[Generated] le1.js .......... Pass
[Generated] le2.js .......... Pass
[Generated] le3.js .......... Pass
[Generated] ge.js .......... Pass
[Generated] ge0.js .......... Pass
[Generated] ge1.js .......... Pass
[Generated] ge2.js .......... Pass
[Generated] ge3.js .......... Pass
[Generated] eq.js .......... Pass
[Generated] eq0.js .......... Pass
[Generated] eq1.js .......... Pass
[Generated] eq2.js .......... Pass
[Generated] eq3.js .......... Pass
[Generated] ne.js .......... Pass
[Generated] ne0.js .......... Pass
[Generated] ne1.js .......... Pass
[Generated] ne2.js .......... Pass
[Generated] ne3.js .......... Pass
[Generated] seq.js .......... Pass
[Generated] seq0.js .......... Pass
[Generated] seq1.js .......... Pass
[Generated] seq2.js .......... Pass
[Generated] seq3.js .......... Pass
[Generated] sne.js .......... Pass
[Generated] sne0.js .......... Pass
[Generated] sne1.js .......... Pass
[Generated] sne2.js .......... Pass
[Generated] sne3.js .......... Pass
[Generated] and.js .......... Pass
[Generated] and0.js .......... Pass
[Generated] and1.js .......... Pass
[Generated] and2.js .......... Pass
[Generated] and3.js .......... Pass
[Generated] xor.js .......... Pass
[Generated] xor0.js .......... Pass
[Generated] xor1.js .......... Pass
[Generated] xor2.js .......... Pass
[Generated] xor3.js .......... Pass
[Generated] or.js .......... Pass
[Generated] or0.js .......... Pass
[Generated] or1.js .......... Pass
[Generated] or2.js .......... Pass
[Generated] or3.js .......... Pass
[Generated] land.js .......... Pass
[Generated] land0.js .......... Pass
[Generated] land1.js .......... Pass
[Generated] land2.js .......... Pass
[Generated] land3.js .......... Pass
[Generated] lor.js .......... Pass
[Generated] lor0.js .......... Pass
[Generated] lor1.js .......... Pass
[Generated] lor2.js .......... Pass
[Generated] lor3.js .......... Pass
[Generated] imul.js .......... Pass
[Generated] divbypow2.js .......... Pass
[Generated] B9AA6BBF.0.js .......... Fail
[Generated] 6E55FA7A.0.js .......... Fail
[Generated] attackoftheclones.js .......... Pass
[Closures] cachedscope_1.js .......... Pass
[Closures] cachedscope_2.js .......... Pass
[Closures] closure.js .......... Pass
[Closures] closure-callback.js .......... Pass
[Closures] closure_multiple_1.js .......... Pass
[Closures] closure_multiple_2.js .......... Pass
[Closures] closure_binding.js .......... Pass
[Closures] closure_binding_2.js .......... Pass
[Closures] closure-funcexpr-eval.js .......... Fail
[Closures] closure-qmark.js .......... Fail
[Closures] closure_ole.js .......... Fail
[Closures] closure_ole.js .......... Fail
[Closures] delaycapture-loopbody.js .......... Pass
[Closures] delaycapture-loopbody2.js .......... Pass
[Closures] initcachedscope.js .......... Fail
[Closures] initcachedscope.js .......... Fail
[Closures] invalcachedscope.js .......... Pass
[Closures] invalcachedscope.js .......... Pass
[Closures] invalcachedscope.js .......... Pass
[Closures] bug_OS_2299723.js .......... Fail
[Closures] bug_OS_2671095.js .......... Pass
[Closures] bug_OS_2903083.js .......... Pass
[Closures] bug_OS_9781249.js .......... Fail
[Closures] bug_OS_9008744.js .......... Pass
[Strings] charAt.js .......... Fail
[Strings] fromCharCode.js .......... Pass
[Strings] charCodeAt.js .......... Fail
[Strings] concat1.js .......... Pass
[Strings] concat2.js .......... Pass
[Strings] concat3.js .......... Skip (FIXME: take too much time)
[Strings] concat4.js .......... Pass
[Strings] concat5.js .......... Pass
[Strings] concat6.js .......... Pass
[Strings] concat7.js .......... Pass
[Strings] concat_empty.js .......... Pass
[Strings] LeftDead.js .......... Pass
[Strings] split1.js .......... Pass
[Strings] stringBuiltin.js .......... Pass
[Strings] toLowerCase.js .......... Pass
[Strings] string_replace.js .......... Pass
[Strings] compare.js .......... Pass
[Strings] replace.js .......... Pass
[Strings] trim.js .......... Fail
[Strings] lastindexof.js .......... Fail
[Strings] indexof.js .......... Pass
[Strings] neg_index.js .......... Pass
[Strings] substring.js .......... Pass
[Strings] HTMLHelpers.js .......... Fail
[Strings] stringindex.js .......... Pass
[Strings] length.js .......... Fail
[Strings] stringtypespec.js .......... Pass
[Strings] CompoundString.js .......... Skip (FIXME: take too much time)
[Strings] concatmulti.js .......... Pass
[Strings] concatmulti_compoundstring.js .......... Pass
[Strings] concatmulti_large.js .......... Pass
[Strings] concatmulti_loop.js .......... Pass
[Strings] long_concatstr.js .......... Pass
[Strings] StringTagFunctions.js .......... Fail
[Strings] string_object_indices_589140.js .......... Pass
[Strings] property_and_index_of_string.js .......... Fail
[Strings] bug_OS_3080673.js .......... Fail
[Strings] unicode_toUpperCase_toLowerCase.js .......... Pass
[Date] DateCtr.js .......... Fail
[Date] DateGetSet.js .......... Fail
[Date] DateParse.js .......... Fail
[Date] DateParse2.js .......... Fail
[Date] toISO_3.js .......... Fail
[Date] parseISO.js .......... Fail
[Date] dateutc.js .......... Fail
[Date] MillisecondTruncationCheckAfterCopyConstructor.js .......... Pass
[Date] Conversions.js .......... Fail
[Date] Conversions.js .......... Fail
[Date] date_cache_bug.js .......... Pass
[Date] formatting.js .......... Fail
[Error] errorProps.js .......... Fail
[Error] ErrorCtorProps.js .......... Fail
[Error] NativeErrors.js .......... Fail
[Error] outofmem.js .......... Skip (FIXME: take too much time)
[Error] stack.js .......... Fail
[Error] stack2.js .......... Fail
[Error] errorCtor.js .......... Fail
[Error] errorNum.js .......... Fail
[Error] CallNonFunction.js .......... Fail
[Error] sourceInfo_00.js .......... Fail
[Error] sourceInfo_01.js .......... Fail
[Error] sourceInfo_10.js .......... Fail
[Error] sourceInfo_11.js .......... Fail
[Error] sourceInfo_12.js .......... Fail
[Error] sourceInfo_13.js .......... Fail
[Error] sourceInfo_20.js .......... Fail
[Error] variousErrors.js .......... Pass
[Error] RuntimeCompileStackOverflow.js .......... Fail
[Error] encodeoverflow.js .......... Skip (FIXME: take too much time)
[Error] bug560940.js .......... Pass
[Error] stackoverflow.js .......... Fail
[Error] inlineSameFunc.js .......... Fail
[Error] PartInitStackFrame.js .......... Fail
[Error] validate_line_column.js .......... Fail
[Error] validate_line_column.js .......... Fail
[Boolean] simple1.js .......... Pass
[Boolean] simple2.js .......... Pass
[Boolean] wrappedobj.js .......... Pass
[Boolean] Equals.js .......... Pass
[Boolean] property_and_index_of_boolean.js .......... Fail
[Boolean] equality.js .......... Pass
[Boolean] boolprop.js .......... Pass
[Number] toString.js .......... Fail
[Number] floatcmp.js .......... Pass
[Number] NaN.js .......... Pass
[Number] integer.js .......... Pass
[Number] toUint16.js .......... Pass
[Number] boundaries.js .......... Pass
[Number] NoSse.js .......... Pass
[Number] property_and_index_of_number.js .......... Fail
[ControlFlow] DoLoop.js .......... Pass
[ControlFlow] DoLoop2.js .......... Pass
[ControlFlow] DoLoop3.js .......... Pass
[ControlFlow] jump.js .......... Fail
[ControlFlow] ForLoop.js .......... Pass
