>>> Running tests for x32.release
Total: 3102 tests
 *  860 tests will be skipped
Done running mjsunit/compiler/control-flow-1: pass
Done running mjsunit/compiler/control-flow-2: pass
Done running mjsunit/compiler/countoperation: pass
Done running mjsunit/compiler/dead-code: pass
Done running mjsunit/compiler/dead-code2: pass
Done running mjsunit/compiler/dead-code3: pass
Done running mjsunit/compiler/dead-code4: pass
Done running mjsunit/compiler/dead-code5: pass
Done running mjsunit/compiler/dead-string-add: pass
Done running mjsunit/compiler/delete: pass
Done running mjsunit/compiler/for-stmt: pass
Done running mjsunit/compiler/function-call: pass
Done running mjsunit/compiler/generic-add: pass
Done running mjsunit/compiler/global-accessors: pass
Done running mjsunit/compiler/globals: pass
Done running mjsunit/compiler/inline-conditional: pass
Done running mjsunit/compiler/inline-dead-jscreate: pass
Done running mjsunit/compiler/lazy-iife-no-parens: pass
Done running mjsunit/compiler/literals-assignment: pass
Done running mjsunit/compiler/literals: pass
Done running mjsunit/compiler/logical-and: pass
Done running mjsunit/compiler/logical-or: pass
Done running mjsunit/compiler/loopcount: pass
Done running mjsunit/compiler/loops: pass
Done running mjsunit/compiler/named-load: pass
Done running mjsunit/compiler/named-store: pass
Done running mjsunit/compiler/null-compare: pass
Done running mjsunit/compiler/objectliterals: pass
Done running mjsunit/compiler/osr-uint32: pass
Done running mjsunit/compiler/property-simple: pass
Done running mjsunit/compiler/regress-0: pass
Done running mjsunit/compiler/regress-1: pass
Done running mjsunit/compiler/regress-2: pass
Done running mjsunit/compiler/regress-3: pass
Done running mjsunit/compiler/regress-3136962: pass
Done running mjsunit/compiler/regress-3185901: pass
Done running mjsunit/compiler/regress-3249650: pass
Done running mjsunit/compiler/regress-3260426: pass
Done running mjsunit/compiler/regress-3786: pass
Done running mjsunit/compiler/regress-3812: pass
Done running mjsunit/compiler/regress-4: pass
Done running mjsunit/compiler/regress-416359: pass
Done running mjsunit/compiler/regress-4206: pass
Done running mjsunit/compiler/regress-439743: pass
Done running mjsunit/compiler/regress-443744: pass
Done running mjsunit/compiler/regress-444508: pass
Done running mjsunit/compiler/regress-444695: pass
Done running mjsunit/compiler/regress-445267: pass
Done running mjsunit/compiler/regress-445858: pass
Done running mjsunit/compiler/regress-445859: pass
Done running mjsunit/compiler/regress-445907: pass
Done running mjsunit/compiler/regress-446156: pass
Done running mjsunit/compiler/regress-446778: pass
Done running mjsunit/compiler/regress-452427: pass
Done running mjsunit/compiler/regress-463056: pass
Done running mjsunit/compiler/regress-468162: pass
Done running mjsunit/compiler/regress-5: pass
Done running mjsunit/compiler/regress-572409: pass
Done running mjsunit/compiler/regress-6: pass
Done running mjsunit/compiler/regress-628516: pass
Done running mjsunit/compiler/regress-630611: pass
Done running mjsunit/compiler/regress-644633: pass
Done running mjsunit/compiler/regress-674469: pass
Done running mjsunit/compiler/regress-7: pass
Done running mjsunit/compiler/regress-8: pass
Done running mjsunit/compiler/regress-arrayliteral: pass
Done running mjsunit/compiler/regress-bit-number-constant: pass
Done running mjsunit/compiler/regress-deopt-call-as-function: pass
Done running mjsunit/compiler/regress-gap: pass
Done running mjsunit/compiler/regress-int32array-outofbounds-nan: pass
Done running mjsunit/compiler/regress-loop-deopt: pass
Done running mjsunit/compiler/regress-register-allocator: pass
Done running mjsunit/compiler/regress-register-allocator2: pass
Done running mjsunit/compiler/regress-register-allocator3: pass
Done running mjsunit/compiler/regress-serialized-slots: pass
Done running mjsunit/compiler/short-circuit: pass
Done running mjsunit/compiler/simple-bailouts: pass
Done running mjsunit/compiler/simple-binary-op: pass
Done running mjsunit/compiler/simple-global-access: pass
Done running mjsunit/compiler/this-property-refs: pass
Done running mjsunit/compiler/thisfunction: pass
Done running mjsunit/compiler/to-fast-properties: pass
Done running mjsunit/compiler/unary-add: pass
Done running mjsunit/compiler/variables: pass
Done running mjsunit/ignition/dead-code-source-position: pass
Done running mjsunit/ignition/regress-629792-source-position-on-jump: pass
Done running mjsunit/ignition/regress-662418: pass
Done running mjsunit/ignition/regress-664146: pass
Done running mjsunit/regress/bitops-register-alias: pass
Done running mjsunit/regress/external-and-normal-array-polymorphism: pass
Done running mjsunit/regress/get-array-keys-oob: pass
Done running mjsunit/regress/json-stringifier-emptyhandle: pass
Done running mjsunit/regress/negative_lookup: pass
Done running mjsunit/regress/property-descriptor-to-object: pass
Done running mjsunit/regress/readonly1: pass
Done running mjsunit/regress/readonly2: pass
Done running mjsunit/regress/readonly3: pass
Done running mjsunit/regress/readonly4: pass
Done running mjsunit/regress/readonly5: pass
Done running mjsunit/regress/regress-100702: pass
Done running mjsunit/regress/regress-1015: pass
Done running mjsunit/regress/regress-1017: pass
Done running mjsunit/regress/regress-1020: pass
Done running mjsunit/regress/regress-1030466: pass
Done running mjsunit/regress/regress-1036894: pass
Done running mjsunit/regress/regress-1039610: pass
Done running mjsunit/regress/regress-1050043: pass
Done running mjsunit/regress/regress-1060: pass
Done running mjsunit/regress/regress-1062422: pass
Done running mjsunit/regress/regress-1066899: pass
Done running mjsunit/regress/regress-1083: pass
Done running mjsunit/regress/regress-1092: pass
Done running mjsunit/regress/regress-1102760: pass
Done running mjsunit/regress/regress-1103: pass
Done running mjsunit/regress/regress-1104: pass
Done running mjsunit/regress/regress-1107: pass
Done running mjsunit/regress/regress-1110: pass
Done running mjsunit/regress/regress-1110164: pass
Done running mjsunit/regress/regress-1112: pass
Done running mjsunit/regress/regress-1112051: pass
Done running mjsunit/regress/regress-1114040: pass
Done running mjsunit/regress/regress-1120: pass
Done running mjsunit/regress/regress-1121: pass
Done running mjsunit/regress/regress-1125: pass
Done running mjsunit/regress/regress-1126: pass
Done running mjsunit/regress/regress-1130: pass
Done running mjsunit/regress/regress-1131: pass
Done running mjsunit/regress/regress-1134697: pass
Done running mjsunit/regress/regress-113924: pass
Done running mjsunit/regress/regress-1146: pass
Done running mjsunit/regress/regress-1149: pass
Done running mjsunit/regress/regress-1150: pass
Done running mjsunit/regress/regress-116: pass
Done running mjsunit/regress/regress-1160: pass
Done running mjsunit/regress/regress-1172-bis: pass
Done running mjsunit/regress/regress-1172: pass
Done running mjsunit/regress/regress-1173979: pass
Done running mjsunit/regress/regress-1176: pass
Done running mjsunit/regress/regress-1177518: pass
Done running mjsunit/regress/regress-1177809: pass
Done running mjsunit/regress/regress-117794: pass
Done running mjsunit/regress/regress-1178598: pass
Done running mjsunit/regress/regress-1184: pass
Done running mjsunit/regress/regress-1187524: pass
Done running mjsunit/regress/regress-119925: pass
Done running mjsunit/regress/regress-1199401: pass
Done running mjsunit/regress/regress-120099: pass
Done running mjsunit/regress/regress-1203459: pass
Done running mjsunit/regress/regress-1207: pass
Done running mjsunit/regress/regress-1209: pass
Done running mjsunit/regress/regress-1213: pass
Done running mjsunit/regress/regress-1213516: pass
Done running mjsunit/regress/regress-121407: pass
Done running mjsunit/regress/regress-1215: pass
Done running mjsunit/regress/regress-1215653: pass
Done running mjsunit/regress/regress-1218: pass
Done running mjsunit/regress/regress-1233: pass
Done running mjsunit/regress/regress-1236: pass
Done running mjsunit/regress/regress-124: pass
Done running mjsunit/regress/regress-1240: pass
Done running mjsunit/regress/regress-1254366: pass
Done running mjsunit/regress/regress-1257: pass
Done running mjsunit/regress/regress-126412: pass
Done running mjsunit/regress/regress-1278: pass
Done running mjsunit/regress/regress-128146: pass
Done running mjsunit/regress/regress-1309: pass
Done running mjsunit/regress/regress-131923: pass
Done running mjsunit/regress/regress-1327557: pass
Done running mjsunit/regress/regress-133211: pass
Done running mjsunit/regress/regress-1346700: pass
Done running mjsunit/regress/regress-1355: pass
Done running mjsunit/regress/regress-1360: pass
Done running mjsunit/regress/regress-137: pass
Done running mjsunit/regress/regress-1383: pass
Done running mjsunit/regress/regress-1387: pass
Done running mjsunit/regress/regress-1389: pass
Done running mjsunit/regress/regress-1401: pass
Done running mjsunit/regress/regress-1415: pass
Done running mjsunit/regress/regress-1436: pass
Done running mjsunit/regress/regress-1439135: pass
Done running mjsunit/regress/regress-143967: pass
Done running mjsunit/regress/regress-1447: pass
Done running mjsunit/regress/regress-145201: pass
Done running mjsunit/regress/regress-149: pass
Done running mjsunit/regress/regress-1491: pass
Done running mjsunit/regress/regress-1513: pass
Done running mjsunit/regress/regress-1529: pass
Done running mjsunit/regress/regress-1531: pass
Done running mjsunit/regress/regress-1546: pass
Done running mjsunit/regress/regress-155924: pass
Done running mjsunit/regress/regress-1620: pass
Done running mjsunit/regress/regress-1624-strict: pass
Done running mjsunit/regress/regress-1624: pass
Done running mjsunit/regress/regress-1625: pass
Done running mjsunit/regress/regress-1692: pass
Done running mjsunit/regress/regress-171: pass
Done running mjsunit/regress/regress-1711: pass
Done running mjsunit/regress/regress-1748: pass
Done running mjsunit/regress/regress-1790: pass
Done running mjsunit/regress/regress-186: pass
Done running mjsunit/regress/regress-191: pass
Done running mjsunit/regress/regress-1919169: pass
Done running mjsunit/regress/regress-192: pass
Done running mjsunit/regress/regress-1924: pass
Done running mjsunit/regress/regress-193: pass
Done running mjsunit/regress/regress-1973: pass
Done running mjsunit/regress/regress-20070207: pass
Done running mjsunit/regress/regress-201: pass
Done running mjsunit/regress/regress-2027: pass
Done running mjsunit/regress/regress-2032: pass
Done running mjsunit/regress/regress-2054: pass
Done running mjsunit/regress/regress-2055: pass
Done running mjsunit/regress/regress-2071: pass
Done running mjsunit/regress/regress-2153: pass
Done running mjsunit/regress/regress-2172: pass
Done running mjsunit/regress/regress-2185-2: pass
Done running mjsunit/regress/regress-219: pass
Done running mjsunit/regress/regress-2226: pass
Done running mjsunit/regress/regress-2249423: pass
Done running mjsunit/regress/regress-225: pass
Done running mjsunit/regress/regress-2263: pass
Done running mjsunit/regress/regress-227: pass
Done running mjsunit/regress/regress-2273: pass
Done running mjsunit/regress/regress-2289: pass
Done running mjsunit/regress/regress-2291: pass
Done running mjsunit/regress/regress-231: pass
Done running mjsunit/regress/regress-2326: pass
Done running mjsunit/regress/regress-233: pass
Done running mjsunit/regress/regress-235311: pass
Done running mjsunit/regress/regress-2373: pass
Done running mjsunit/regress/regress-2374: pass
Done running mjsunit/regress/regress-2398: pass
Done running mjsunit/regress/regress-2410: pass
Done running mjsunit/regress/regress-241344: pass
Done running mjsunit/regress/regress-2416: pass
Done running mjsunit/regress/regress-2419: pass
Done running mjsunit/regress/regress-2433: pass
Done running mjsunit/regress/regress-2437: pass
Done running mjsunit/regress/regress-244: pass
Done running mjsunit/regress/regress-2441: pass
Done running mjsunit/regress/regress-2443: pass
Done running mjsunit/regress/regress-2444: pass
Done running mjsunit/regress/regress-246: pass
Done running mjsunit/regress/regress-2470: pass
Done running mjsunit/regress/regress-2529: pass
Done running mjsunit/regress/regress-253: pass
Done running mjsunit/regress/regress-254: pass
Done running mjsunit/regress/regress-2565: pass
Done running mjsunit/regress/regress-2566: pass
Done running mjsunit/regress/regress-2568: pass
Done running mjsunit/regress/regress-2570: pass
Done running mjsunit/regress/regress-259: pass
Done running mjsunit/regress/regress-2594: pass
Done running mjsunit/regress/regress-260: pass
Done running mjsunit/regress/regress-2606: pass
Done running mjsunit/regress/regress-2615: pass
Done running mjsunit/regress/regress-263: pass
Done running mjsunit/regress/regress-265: pass
Done running mjsunit/regress/regress-267: pass
Done running mjsunit/regress/regress-2686: pass
Done running mjsunit/regress/regress-2690: pass
Done running mjsunit/regress/regress-270142: pass
Done running mjsunit/regress/regress-2711: pass
Done running mjsunit/regress/regress-2717: pass
Done running mjsunit/regress/regress-279: pass
Done running mjsunit/regress/regress-2790: pass
Done running mjsunit/regress/regress-284: pass
Done running mjsunit/regress/regress-2855: pass
Done running mjsunit/regress/regress-286: pass
Done running mjsunit/regress/regress-2931: pass
Done running mjsunit/regress/regress-294: pass
Done running mjsunit/regress/regress-2980: pass
Done running mjsunit/regress/regress-298269: pass
Done running mjsunit/regress/regress-2984: pass
Done running mjsunit/regress/regress-299979: pass
Done running mjsunit/regress/regress-3006390: pass
Done running mjsunit/regress/regress-3010: pass
Done running mjsunit/regress/regress-3025: pass
Done running mjsunit/regress/regress-3026: pass
Done running mjsunit/regress/regress-3027: pass
Done running mjsunit/regress/regress-3116: pass
Done running mjsunit/regress/regress-312: pass
Done running mjsunit/regress/regress-3135: pass
Done running mjsunit/regress/regress-3138: pass
Done running mjsunit/regress/regress-317: pass
Done running mjsunit/regress/regress-318: pass
Done running mjsunit/regress/regress-3185905: pass
Done running mjsunit/regress/regress-3199913: pass
Done running mjsunit/regress/regress-3218530: pass
Done running mjsunit/regress/regress-3229: pass
Done running mjsunit/regress/regress-3230771: pass
Done running mjsunit/regress/regress-3247124: pass
Done running mjsunit/regress/regress-3252443: pass
Done running mjsunit/regress/regress-326: pass
Done running mjsunit/regress/regress-3294: pass
Done running mjsunit/regress/regress-3334: pass
Done running mjsunit/regress/regress-340125: pass
Done running mjsunit/regress/regress-341: pass
Done running mjsunit/regress/regress-345: pass
Done running mjsunit/regress/regress-3456: pass
Done running mjsunit/regress/regress-3462: pass
Done running mjsunit/regress/regress-3483: pass
Done running mjsunit/regress/regress-349: pass
Done running mjsunit/regress/regress-35: pass
Done running mjsunit/regress/regress-350884: pass
Done running mjsunit/regress/regress-350887: pass
Done running mjsunit/regress/regress-351: pass
Done running mjsunit/regress/regress-352059: pass
Done running mjsunit/regress/regress-353551: pass
Done running mjsunit/regress/regress-355485: pass
Done running mjsunit/regress/regress-357054: pass
Done running mjsunit/regress/regress-358088: pass
Done running mjsunit/regress/regress-358090: pass
Done running mjsunit/regress/regress-359525: pass
Done running mjsunit/regress/regress-3612: pass
Done running mjsunit/regress/regress-3621: pass
Done running mjsunit/regress/regress-3643: pass
Done running mjsunit/regress/regress-3756: pass
Done running mjsunit/regress/regress-386: pass
Done running mjsunit/regress/regress-392: pass
Done running mjsunit/regress/regress-394: pass
Done running mjsunit/regress/regress-396: pass
Done running mjsunit/regress/regress-399: pass
Done running mjsunit/regress/regress-404981: pass
Done running mjsunit/regress/regress-406: pass
Done running mjsunit/regress/regress-416: pass
Done running mjsunit/regress/regress-416416: pass
Done running mjsunit/regress/regress-4169: pass
Done running mjsunit/regress/regress-4214: pass
Done running mjsunit/regress/regress-423633: pass
Done running mjsunit/regress/regress-4271: pass
Done running mjsunit/regress/regress-4279: pass
Done running mjsunit/regress/regress-4296: pass
Done running mjsunit/regress/regress-4376-1: pass
Done running mjsunit/regress/regress-4376-2: pass
Done running mjsunit/regress/regress-4376-3: pass
Done running mjsunit/regress/regress-4399-01: pass
Done running mjsunit/regress/regress-4399-02: pass
Done running mjsunit/regress/regress-441099: pass
Done running mjsunit/regress/regress-444805: pass
Done running mjsunit/regress/regress-4450: pass
Done running mjsunit/regress/regress-4495: pass
Done running mjsunit/regress/regress-45469: pass
Done running mjsunit/regress/regress-455207: pass
Done running mjsunit/regress/regress-455212: pass
Done running mjsunit/regress/regress-458876: pass
Done running mjsunit/regress/regress-458987: pass
Done running mjsunit/regress/regress-459955: pass
Done running mjsunit/regress/regress-4640: pass
Done running mjsunit/regress/regress-4659: pass
Done running mjsunit/regress/regress-469605: pass
Done running mjsunit/regress/regress-469605b: pass
Done running mjsunit/regress/regress-472504: pass
Done running mjsunit/regress/regress-475: pass
Done running mjsunit/regress/regress-483: pass
Done running mjsunit/regress/regress-485: pass
Done running mjsunit/regress/regress-486: pass
Done running mjsunit/regress/regress-489151: pass
Done running mjsunit/regress/regress-490: pass
Done running mjsunit/regress/regress-491: pass
Done running mjsunit/regress/regress-492: pass
Done running mjsunit/regress/regress-496: pass
Done running mjsunit/regress/regress-500173: pass
Done running mjsunit/regress/regress-500176: pass
Done running mjsunit/regress/regress-500980: pass
Done running mjsunit/regress/regress-502: pass
Done running mjsunit/regress/regress-503: pass
Done running mjsunit/regress/regress-503565: pass
Done running mjsunit/regress/regress-507980: pass
Done running mjsunit/regress/regress-509961: pass
Done running mjsunit/regress/regress-515: pass
Done running mjsunit/regress/regress-5199: pass
Done running mjsunit/regress/regress-5213: pass
Done running mjsunit/regress/regress-5214: pass
Done running mjsunit/regress/regress-526: pass
Done running mjsunit/regress/regress-52801: pass
Done running mjsunit/regress/regress-540: pass
Done running mjsunit/regress/regress-542823: pass
Done running mjsunit/regress/regress-543994: pass
Done running mjsunit/regress/regress-545: pass
Done running mjsunit/regress/regress-5669: pass
Done running mjsunit/regress/regress-57: pass
Done running mjsunit/regress/regress-580: pass
Done running mjsunit/regress/regress-581: pass
Done running mjsunit/regress/regress-58740: pass
